index Betriebname Milchmenge Fett.B Laktationstag BetriebDatum
1 Dargun -0.163260569115437 0.266183657881181 37 Dargun2009-05-04
2 Dargun 1.01427518520011 0.848315801948554 98 Dargun2009-05-04
3 Dargun -1.09433535159749 -1.17202516863821 99 Dargun2009-05-04
4 Dargun -0.409721540948923 0.0949683213907776 78 Dargun2009-05-04
5 Dargun 1.11012111869091 0.163454455986939 87 Dargun2009-05-04
6 Dargun -0.519259750652694 2.23516002752082 58 Dargun2009-05-04
7 Dargun 0.28858454591262 0.163454455986939 114 Dargun2009-05-04
8 Dargun 0.507660965320162 -2.06234491838831 86 Dargun2009-05-04
9 Dargun 1.01427518520011 0.283305191530221 77 Dargun2009-05-04
10 Dargun 1.01427518520011 0.300426725179262 93 Dargun2009-05-04
11 Dargun -0.57402885550458 0.351791326126383 81 Dargun2009-05-04
12 Dargun 0.986890632774162 -0.624136091868918 81 Dargun2009-05-04
13 Luessow 0.521353241533134 -0.00776088050346478 42 Luessow2009-05-05
14 Dargun -0.38233698852298 2.59471223415067 83 Dargun2009-05-04
15 Dargun 1.26073615703359 -0.196097750642909 101 Dargun2009-05-04
16 Dargun 0.48027641289422 -0.521406889974676 35 Dargun2009-05-04
17 Dargun 0.986890632774162 0.19769752328502 86 Dargun2009-05-04
18 Dargun 0.48027641289422 1.43044794601593 86 Dargun2009-05-04
19 Dargun 0.466584136681248 0.317548258828302 96 Dargun2009-05-04
20 Luessow 0.425507308042334 1.63590634980441 25 Luessow2009-05-05
21 Dargun 0.00104674544021977 2.0125800900833 104 Dargun2009-05-04
22 Dargun 0.57612234638502 1.1222603403332 85 Dargun2009-05-04
23 Barth -0.122183740476523 1.73863555169865 46 Barth2009-07-06
24 Dargun 0.699352832301762 0.403155927073505 94 Dargun2009-05-04
25 Dargun -0.423413817161894 -0.230340817940989 101 Dargun2009-07-06
26 Dargun -0.587721131717552 1.34484027777072 104 Dargun2009-05-04
27 Dargun 0.548737793959077 0.403155927073505 23 Dargun2009-05-04
28 Luessow 1.04165973762605 0.574371263563908 36 Luessow2009-05-05
29 Dargun 1.84950403419136 -1.6343065771623 116 Dargun2009-05-04
30 Dargun 1.09642884247793 1.00240960478992 92 Dargun2009-05-04
31 Dargun 1.58935078614491 -1.15490363498917 88 Dargun2009-05-04
32 Dargun -0.0674146356246374 -0.435799221729474 91 Dargun2009-05-04
33 Dargun 0.521353241533134 -0.487163822676596 93 Dargun2009-05-04
34 Dargun 0.589814622597991 -0.812472962008363 47 Dargun2009-05-04
35 Luessow 1.21965932839468 1.036652672088 47 Luessow2009-05-05
36 Luessow 1.17858249975576 -0.504285356325636 43 Luessow2009-05-05
37 Dargun 1.43873574780222 -0.0933685487486663 84 Dargun2009-05-04
38 Dargun 0.76781421336662 -0.504285356325636 97 Dargun2009-05-04
39 Dargun -0.86156665597698 0.557249729914868 102 Dargun2009-05-04
40 Dargun 0.329661374551534 0.180575989635979 46 Dargun2009-05-04
41 Dargun 8.69564214067707 0.19769752328502 35 Dargun2009-05-04
42 Dargun 1.79473492933948 -0.470042289027555 55 Dargun2009-05-04
43 Luessow 0.57612234638502 1.60166328250633 48 Luessow2009-05-05
44 Luessow 1.19227477596873 0.026482186794616 33 Luessow2009-05-05
45 Dargun 0.329661374551534 -0.555649957272757 93 Dargun2009-05-04
46 Dargun 1.27442843324656 -1.32611897147957 88 Dargun2009-05-04
47 Dargun 0.521353241533134 -0.161854683344828 45 Dargun2009-05-04
48 Dargun 0.521353241533134 -0.795351428359322 54 Dargun2009-05-04
49 Dargun 0.521353241533134 -1.70279271175846 86 Dargun2009-05-04
50 Dargun 0.411815031829363 0.677100465458151 47 Dargun2009-05-04
51 Luessow 0.795198765792562 0.848315801948554 43 Luessow2009-05-05
52 Luessow -0.847874379764009 2.0981877583285 32 Luessow2009-05-05
53 Dargun 0.76781421336662 0.231940590583101 118 Dargun2009-05-04
54 Dargun 0.589814622597991 -0.0591254814505863 94 Dargun2009-05-04
55 Dargun -0.930028037041837 1.90985088818906 90 Dargun2009-05-04
56 Dargun 0.699352832301762 0.711343532756231 50 Dargun2009-05-04
57 Dargun 0.124277231356963 -0.127611616046747 92 Dargun2009-05-04
58 Dargun 0.398122755616391 -1.18914670228725 47 Dargun2009-05-04
59 Luessow 0.740429660940677 1.15650340763128 43 Luessow2009-05-05
60 Luessow 0.95950608034822 -0.607014558219878 26 Luessow2009-05-05
61 Dargun 1.27442843324656 0.523006662616786 102 Dargun2009-05-04
62 Dargun 1.54827395750599 -0.435799221729474 56 Dargun2009-05-04
